Time [s];Position [°];Current [A];Voltage [V];;;;;;
0,507;190,283;0,000;-0,004;;;;;;
0,508;190,283;0,000;-0,004;;;;;;
0,509;190,283;0,000;0,004;;;;;;
0,51;190,283;0,000;0,004;;;;;;
0,511;190,283;0,000;-0,004;;;;;;
0,512;190,283;0,000;-0,004;;;;;;
0,513;190,283;0,000;0,000;;;;;;
0,514;190,283;0,000;0,000;;;;;;
0,515;190,283;0,000;0,000;;;;;;
0,516;190,283;0,000;0,000;;;;;;
0,517;190,283;0,000;0,000;;;;;;
0,518;190,283;0,000;0,000;;;;;;
0,519;190,195;0,000;0,000;;;;;;
0,52;190,195;0,000;0,000;;;;;;
0,521;190,195;0,000;0,000;;;;;;
0,522;190,195;0,000;0,000;;;;;;
0,523;190,283;0,000;0,004;;;;;;
0,524;190,283;0,000;0,004;;;;;;
0,525;190,283;0,000;0,000;;;;;;
0,526;190,283;0,000;0,000;;;;;;
0,527;190,283;0,000;-0,004;;;;;;
0,528;190,283;0,000;-0,004;;;;;;
0,529;190,283;0,000;0,000;;;;;;
0,53;190,283;0,000;0,000;;;;;;
0,531;190,283;0,000;0,000;;;;;;
0,532;190,283;0,000;0,000;;;;;;
0,533;190,283;0,000;-0,004;;;;;;
0,534;190,283;0,000;-0,004;;;;;;
0,535;190,195;0,000;0,000;;;;;;
0,536;190,195;0,000;0,000;;;;;;
0,537;190,283;0,000;-0,004;;;;;;
0,538;190,283;0,000;-0,004;;;;;;
0,539;190,283;0,000;0,000;;;;;;
0,54;190,283;0,000;0,000;;;;;;
0,541;190,195;0,000;0,000;;;;;;
0,542;190,195;0,000;0,000;;;;;;
0,543;190,195;0,000;0,004;;;;;;
0,544;190,195;0,000;0,004;;;;;;
0,545;190,195;0,000;0,004;;;;;;
0,546;190,195;0,000;0,004;;;;;;
0,547;190,195;0,000;0,000;;;;;;
0,548;190,195;0,000;0,000;;;;;;
0,549;190,195;0,000;0,004;;;;;;
0,55;190,195;0,000;0,004;;;;;;
0,551;190,195;0,000;0,000;;;;;;
0,552;190,195;0,000;0,000;;;;;;
0,553;190,283;0,000;0,000;;;;;;
0,554;190,283;0,000;0,000;;;;;;
0,555;190,283;0,000;0,000;;;;;;
0,556;190,283;0,000;0,000;;;;;;
0,557;190,283;0,000;0,004;;;;;;
0,558;190,283;0,000;0,004;;;;;;
0,559;190,283;0,000;0,000;;;;;;
0,56;190,283;0,000;0,000;;;;;;
0,561;190,283;0,000;0,004;;;;;;
0,562;190,283;0,000;0,004;;;;;;
0,563;190,283;0,000;0,004;;;;;;
0,564;190,283;0,000;0,004;;;;;;
0,565;190,283;0,000;0,000;;;;;;
0,566;190,283;0,000;0,000;;;;;;
0,567;190,283;0,000;0,000;;;;;;
0,568;190,283;0,000;0,000;;;;;;
0,569;190,195;0,000;0,000;;;;;;
0,57;190,195;0,000;0,000;;;;;;
0,571;190,195;0,000;0,000;;;;;;
0,572;190,195;0,000;0,000;;;;;;
0,573;190,283;0,000;0,004;;;;;;
0,574;190,283;0,000;0,004;;;;;;
0,575;190,283;0,000;0,000;;;;;;
0,576;190,283;0,000;0,000;;;;;;
0,577;190,283;0,000;0,000;;;;;;
0,578;190,283;0,000;0,000;;;;;;
0,579;190,283;0,000;0,004;;;;;;
0,58;190,283;0,000;0,004;;;;;;
0,581;190,283;0,000;0,004;;;;;;
0,582;190,283;0,000;0,004;;;;;;
0,583;190,283;0,000;0,000;;;;;;
0,584;190,283;0,000;0,000;;;;;;
0,585;190,283;0,000;0,004;;;;;;
0,586;190,283;0,000;0,004;;;;;;
0,587;190,195;0,000;0,000;;;;;;
0,588;190,195;0,000;0,000;;;;;;
0,589;190,283;0,000;0,000;;;;;;
0,59;190,283;0,000;0,000;;;;;;
0,591;190,283;0,000;0,000;;;;;;
0,592;190,283;0,000;0,000;;;;;;
0,593;190,283;0,000;-0,004;;;;;;
0,594;190,283;0,000;-0,004;;;;;;
0,595;190,195;0,000;0,004;;;;;;
0,596;190,195;0,000;0,004;;;;;;
0,597;190,195;0,000;-0,004;;;;;;
0,598;190,195;0,000;-0,004;;;;;;
0,599;190,195;0,000;0,000;;;;;;
0,6;190,195;0,000;0,000;;;;;;
0,601;190,195;0,000;-0,004;;;;;;
0,602;190,195;0,000;-0,004;;;;;;
0,603;190,283;0,000;0,000;;;;;;
0,604;190,283;0,000;0,000;;;;;;
0,605;190,283;0,000;0,000;;;;;;
0,606;190,283;0,000;0,000;;;;;;
0,607;190,283;0,000;-0,004;;;;;;
0,608;190,283;0,000;-0,004;;;;;;
0,609;190,283;0,000;0,008;;;;;;
0,61;190,283;0,000;0,008;;;;;;
0,611;190,283;0,000;0,000;;;;;;
0,612;190,283;0,000;0,000;;;;;;
0,613;190,283;0,000;0,000;;;;;;
0,614;190,283;0,000;0,000;;;;;;
0,615;190,283;0,000;-0,004;;;;;;
0,616;190,283;0,000;-0,004;;;;;;
0,617;190,283;0,000;0,000;;;;;;
0,618;190,283;0,000;0,000;;;;;;
0,619;190,195;0,000;-0,004;;;;;;
0,62;190,195;0,000;-0,004;;;;;;
0,621;190,195;0,000;0,000;;;;;;
